Name,Type1,Type2,IsFullyEvolved,IsLegendary
Bulbasaur,Grass,Poison,0,0
Ivysaur,Grass,Poison,0,0
Venusaur,Grass,Poison,1,0
Charmander,Fire,NULL,0,0
Charmeleon,Fire,NULL,0,0
Charizard,Fire,Flying,1,0
Squirtle,Water,NULL,0,0
Wartortle,Water,NULL,0,0
Blastoise,Water,NULL,1,0
Caterpie,Bug,NULL,0,0
Metapod,Bug,NULL,0,0
Butterfree,Bug,Flying,1,0
Weedle,Bug,Poison,0,0
Kakuna,Bug,Poison,0,0
Beedrill,Bug,Poison,1,0
Pidgey,Normal,Flying,0,0
Pidgeotto,Normal,Flying,0,0
Pidgeot,Normal,Flying,1,0
Rattata,Normal,NULL,0,0
Raticate,Normal,NULL,1,0
Spearow,Normal,Flying,0,0
Fearow,Normal,Flying,1,0
Ekans,Poison,NULL,0,0
Arbok,Poison,NULL,1,0
Pikachu,Electric,NULL,0,0
Raichu,Electric,NULL,1,0
Shandshew,Ground,NULL,0,0
Sandslash,Ground,NULL,1,0
Nidoran F,Poison,NULL,0,0
Nidorina,Poison,NULL,0,0
Nidoqueen,Poison,Ground,1,0
Nidoran M,Poison,NULL,0,0
Nidorino,Poison,NULL,0,0
Nidoking,Poison,Ground,1,0
Clefairy,Fairy,NULL,0,0
Clefable,Fairy,NULL,1,0
Vulpix,Fire,NULL,0,0
Ninetales,Fire,NULL,1,0
Jigglypuff,Normal,Fairy,0,0
Wigglytuff,Normal,Fairy,1,0
Zubat,Poison,Flying,0,0
Golbat,Poison,Flying,1,0
Oddish,Grass,Poison,0,0
Gloom,Grass,Poison,0,0
Vileplume,Grass,Poison,1,0
Paras,Bug,Grass,0,0
Parasect,Bug,Grass,1,0
Venonat,Bug,Poison,0,0
Venomoth,Bug,Poison,1,0
Diglett,Ground,NULL,0,0
Dugtrio,Ground,NULL,1,0
Meowth,Normal,NULL,0,0
Persian,Normal,NULL,1,0
Psyduck,Water,NULL,0,0
Golduck,Water,NULL,1,0
Mankey,Fighting,NULL,0,0
Primeape,Fighting,NULL,1,0
Growlithe,Fire,NULL,0,0
Arcanine,Fire,NULL,1,0
Poliwag,Water,NULL,0,0
Poliwhirl,Water,NULL,0,0
Poliwrath,Water,Fighting,1,0
Abra,Psychic,NULL,0,0
Kadabra,Psychic,NULL,0,0
Alakazam,Psychic,NULL,1,0
Machop,Fighting,NULL,0,0
Machoke,Fighting,NULL,0,0
Machamp,Fighting,NULL,1,0
Bellsprout,Grass,Poison,0,0
Weepinbell,Grass,Poison,0,0
Victreebel,Grass,Poison,1,0
Tentacool,Water,Poison,0,0
Tentacruel,Water,Poison,1,0
Geodude,Rock,Ground,0,0
Graveler,Rock,Ground,0,0
Golem,Rock,Ground,1,0
Ponyta,Fire,NULL,0,0
Rapidash,Fire,NULL,1,0
Slowpoke,Water,Psychic,0,0
Slowbro,Water,Psychic,1,0
Magnemite,Electric,Steel,0,0
Magneton,Electric,Steel,1,0
Farfetch'd,Normal,Flying,1,0
Doduo,Normal,Flying,0,0
Dodrio,Normal,Flying,1,0
Seel,Water,NULL,0,0
Dewgong,Water,Ice,1,0
Grimer,Poison,NULL,0,0
Muk,Poison,NULL,1,0
Shellder,Water,NULL,0,0
Cloyster,Water,Ice,1,0
Gastly,Ghost,Poison,0,0
Haunter,Ghost,Poison,0,0
Gengar,Ghost,Poison,1,0
Onix,Rock,Ground,1,0
Drowzee,Psychic,NULL,0,0
Hypno,Psychic,NULL,1,0
Krabby,Water,NULL,0,0
Kingler,Water,NULL,1,0
Voltorb,Electric,NULL,0,0
Electrode,Electric,NULL,1,0
Exeggcute,Grass,Psychic,0,0
Exeggutor,Grass,Psychic,1,0
Cubone,Ground,NULL,0,0
Marowak,Ground,NULL,1,0
Hitmonlee,Fighting,NULL,1,0
Hitmonchan,Fighting,NULL,1,0
Lickitung,Normal,NULL,1,0
Koffing,Poison,NULL,0,0
Weezing,Poison,NULL,1,0
Rhyhorn,Ground,Rock,0,0
Rhydon,Ground,Rock,1,0
Chansey,Normal,NULL,1,0
Tangela,Grass,NULL,1,0
Kangaskhan,Normal,NULL,1,0
Horsea,Water,NULL,0,0
Seadra,Water,NULL,1,0
Goldeen,Water,NULL,0,0
Seaking,Water,NULL,1,0
Staryu,Water,NULL,0,0
Starmie,Water,Psychic,1,0
Mr. Mime,Psychic,Fairy,1,0
Scyther,Bug,Flying,1,0
Jynx,Ice,Psychic,1,0
Electabuzz,Electric,NULL,1,0
Magmar,Fire,NULL,1,0
Pinsir,Bug,NULL,1,0
Tauros,Normal,NULL,1,0
Magikarp,Water,NULL,0,0
Gyrados,Water,Flying,1,0
Lapras,Water,Ice,1,0
Ditto,Normal,NULL,1,0
Eevee,Normal,NULL,0,0
Vaporeon,Water,NULL,1,0
Jolteon,Electric,NULL,1,0
Flareon,Fire,NULL,1,0
Porygon,Normal,NULL,1,0
Omanyte,Rock,Water,0,0
Omastar,Rock,Water,1,0
Kabuto,Rock,Water,0,0
Kabutops,Rock,Water,1,0
Aerodactyl,Rock,Flying,1,0
Snorlax,Normal,NULL,1,0
Articuno,Ice,Flying,1,1
Zapdos,Electric,Flying,1,1
Moltres,Fire,Flying,1,1
Dratini,Dragon,NULL,0,0
Dragonair,Dragon,NULL,0,0
Dragonite,Dragon,Flying,1,0
Mewtwo,Psychic,NULL,1,1
Mew,Psychic,NULL,1,1
Chikorita,Grass,NULL,0,0
Bayleef,Grass,NULL,0,0
Meganium,Grass,NULL,1,0
Cyndaquil,Fire,NULL,0,0
Quilava,Fire,NULL,0,0
Typhlosion,Fire,NULL,1,0
Totodile,Water,NULL,0,0
Croconaw,Water,NULL,0,0
Feraligatr,Water,NULL,1,0
Sentret,Normal,NULL,0,0
Furret,Normal,NULL,1,0
Hoothoot,Normal,Flying,0,0
Noctowl,Normal,Flying,1,0
Ledyba,Bug,Flying,0,0
Ledian,Bug,Flying,1,0
Spinarak,Bug,Poison,0,0
Ariados,Bug,Poison,1,0
Crobat,Poison,Flying,1,0
Chinchou,Water,Electric,0,0
Lanturn,Water,Electric,1,0
Pichu,Electric,NULL,0,0
Cleffa,Fairy,NULL,0,0
Igglybuff,Normal,Fairy,0,0
Togepi,Fairy,NULL,0,0
Togetic,Fairy,Flying,1,0
Natu,Psychic,Flying,0,0
Xatu,Psychic,Flying,1,0
Mareep,Electric,NULL,0,0
Flaafy,Electric,NULL,0,0
Ampharos,Electric,NULL,1,0
Bellossom,Grass,NULL,1,0
Marill,Water,Fairy,0,0
Azumarill,Water,Fairy,1,0
Sudowoodo,Rock,NULL,1,0
Politoed,Water,NULL,1,0
Hoppip,Grass,Flying,0,0
Skiploom,Grass,Flying,0,0
Jumpluff,Grass,Flying,1,0
Aipom,Normal,NULL,1,0
Sunkern,Grass,NULL,0,0
Sunflora,Grass,NULL,1,0
Yanma,Bug,Flying,1,0
Wooper,Water,Ground,0,0
Quagsire,Water,Ground,1,0
Espeon,Psychic,NULL,1,0
Umbreon,Dark,NULL,1,0
Murkrow,Dark,Flying,1,0
Slowking,Water,Psychic,1,0
Misdreavus,Ghost,NULL,1,0
Unown,Psychic,NULL,1,0
Wobbuffet,Psychic,NULL,1,0
Girafarig,Normal,Psychic,1,0
Pineco,Bug,NULL,0,0
Forretress,Bug,Steel,1,0
Dunsparce,Normal,NULL,1,0
Gligar,Ground,Flying,1,0
Steelix,Steel,Ground,1,0
Snubbull,Fairy,NULL,0,0
Granbull,Fairy,NULL,1,0
Quilfish,Water,Poison,1,0
Scizor,Bug,Steel,1,0
Shuckle,Bug,Rock,1,0
Heracross,Bug,Fighting,1,0
Sneasel,Dark,Ice,1,0
Teddiursa,Normal,NULL,0,0
Ursaring,Normal,NULL,1,0
Slugma,Fire,NULL,0,0
Magcargo,Fire,Rock,1,0
Swinub,Ice,Ground,0,0
Piloswine,Ice,Ground,1,0
Corsola,Water,Rock,1,0
Remoraid,Water,NULL,0,0
Octillery,Water,NULL,1,0
Delibird,Ice,Flying,1,0
Mantine,Water,Flying,1,0
Skarmory,Steel,Flying,1,0
Houndour,Dark,Fire,0,0
Houndoom,Dark,Fire,1,0
Kingdra,Water,Dragon,1,0
Phanpy,Ground,NULL,0,0
Donphan,Ground,NULL,1,0
Porygon2,Normal,NULL,1,0
Stantler,Normal,NULL,1,0
Smeargle,Normal,NULL,1,0
Tyrogue,Fighting,NULL,0,0
Hitmontop,Fighting,NULL,1,0
Smoochum,Ice,Psychic,0,0
Elekid,Electric,NULL,0,0
Magby,Fire,NULL,0,0
Miltank,Normal,NULL,1,0
Blissey,Normal,NULL,1,0
Raikou,Electric,NULL,1,0
Entei,Fire,NULL,1,0
Suicune,Water,NULL,1,0
Larvitar,Rock,Ground,0,0
Pupitar,Rock,Ground,0,0
Tyranitar,Rock,Dark,1,0
Lugia,Psychic,Flying,1,1
Ho-Oh,Fire,Flying,1,1
Celebi,Psychic,Grass,1,1
Treecko,Grass,NULL,0,0
Grovyle,Grass,NULL,0,0
Sceptile,Grass,NULL,1,0
Torchic,Fire,NULL,0,0
Combusken,Fire,Fighting,0,0
Blaziken,Fire,Fighting,1,0
Mudkip,Water,NULL,0,0
Marshtomp,Water,Ground,0,0
Swampert,Water,Ground,1,0
Poochyena,Dark,Ground,0,0
Mightyena,Dark,NULL,1,0
Zigzagoon,Normal,NULL,0,0
Linoone,Normal,NULL,1,0
Wurmple,Bug,NULL,0,0
Silcoon,Bug,NULL,0,0
Beautifly,Bug,Flying,1,0
Cascoon,Bug,NULL,0,0
Dustox,Bug,Poison,1,0
Lotad,Water,Grass,0,0
Lombre,Water,Grass,0,0
Ludicolo,Water,Grass,1,0
Seedot,Grass,NULL,0,0
Nuzleaf,Grass,Dark,0,0
Shiftry,Grass,Dark,1,0
Tailow,Normal,Flying,0,0
Swellow,Normal,Flying,1,0
Wingull,Water,Flying,0,0
Pelipper,Water,Flying,1,0
Ralts,Psychic,Fairy,0,0
Kirlia,Psychic,Fairy,0,0
Gardevoir,Psychic,Fairy,1,0
Surskit,Bug,Water,0,0
Masquerain,Bug,Flying,1,0
Shroomish,Grass,NULL,0,0
Breloom,Grass,Fighting,1,0
Slakoth,Normal,NULL,0,0
Vigoroth,Normal,NULL,0,0
Slaking,Normal,NULL,1,0
Nincada,Bug,Ground,0,0
Ninjask,Bug,Flying,1,0
Shedinja,Bug,Ghost,1,0
Whismur,Normal,NULL,0,0
Loudred,Normal,NULL,0,0
Exploud,Normal,NULL,1,0
Makuhita,Fighting,NULL,0,0
Hariyama,Fighting,NULL,1,0
Azurill,Normal,Fairy,0,0
Nosepass,Rock,NULL,1,0
Skitty,Normal,NULL,0,0
Delcatty,Normal,NULL,1,0
Sableye,Dark,Ghost,1,0
Mawile,Steel,Fairy,1,0
Aron,Steel,Rock,0,0
Lairon,Steel,Rock,0,0
Aggron,Steel,Rock,1,0
Meditite,Fighting,Psychic,0,0
Medicham,Fighting,Psychic,1,0
Electrike,Electric,NULL,0,0
Manectric,Electric,NULL,1,0
Plusle,Electric,NULL,1,0
Minun,Electric,NULL,1,0
Volbeat,Bug,NULL,1,0
Illumise,Bug,NULL,1,0
Roselia,Grass,Poison,1,0
Gulpin,Poison,NULL,0,0
Swalot,Poison,NULL,1,0
Carvanha,Water,Dark,0,0
Sharpedo,Water,Dark,1,0
Wailmer,Water,NULL,0,0
Wailord,Water,NULL,1,0
Numel,Fire,Ground,0,0
Camerupt,Fire,Ground,1,0
Torkoal,Fire,NULL,1,0
Spoink,Psychic,NULL,0,0
Grumpig,Psychic,NULL,1,0
Spinda,Normal,NULL,1,0
Trapinch,Ground,NULL,0,0
Vibrava,Ground,Dragon,0,0
Flygon,Ground,Dragon,1,0
Cacnea,Grass,NULL,0,0
Cacturne,Grass,Dark,1,0
Swablu,Normal,Flying,0,0
Altaria,Dragon,Flying,1,0
Zangoose,Normal,NULL,1,0
Seviper,Poison,NULL,1,0
Lunatone,Rock,Psychic,1,0
Solrock,Rock,Psychic,1,0
Barboach,Water,Ground,0,0
Whiscash,Water,Ground,1,0
Corphish,Water,NULL,0,0
Crawdaunt,Water,Dark,1,0
Baltoy,Ground,Psychic,0,0
Claydol,Ground,Psychic,1,0
Lileep,Rock,Grass,0,0
Cradily,Rock,Grass,1,0
Anorith,Rock,Bug,0,0
Armaldo,Rock,Bug,1,0
Feebas,Water,NULL,0,0
Milotic,Water,NULL,1,0
Castform,Normal,NULL,1,0
Kecleon,Normal,NULL,1,0
Shuppet,Ghost,NULL,0,0
Banette,Ghost,NULL,1,0
Duskull,Ghost,NULL,0,0
Dusclops,Ghost,NULL,1,0
Tropius,Grass,Flying,1,0
Chimecho,Psychic,NULL,1,0
Absol,Dark,NULL,1,0
Wynaut,Psychic,NULL,0,0
Snorunt,Ice,NULL,0,0
Glalie,Ice,NULL,1,0
Spheal,Ice,Water,0,0
Sealo,Ice,Water,0,0
Walrein,Ice,Water,1,0
Clamperl,Water,NULL,0,0
Huntail,Water,NULL,1,0
Gorebyss,Water,NULL,1,0
Relicanth,Water,Rock,1,0
Luvdisc,Water,NULL,1,0
Bagon,Dragon,NULL,0,0
Shelgon,Dragon,NULL,0,0
Salamence,Dragon,Flying,1,0
Beldum,Steel,Psychic,0,0
Metang,Steel,Psychic,0,0
Metagross,Steel,Psychic,1,0
Regirock,Rock,NULL,1,1
Regice,Ice,NULL,1,1
Registeel,Steel,NULL,1,1
Latias,Dragon,Psychic,1,1
Latios,Dragon,Psychic,1,1
Kyogre,Water,NULL,1,1
Groudon,Ground,NULL,1,1
Rayquaza,Dragon,Flying,1,1
Jirachi,Steel,Psychic,1,1
Deoxys,Psychic,NULL,1,1
